danceability,energy,valence,acousticness,speechiness,instrumentalness,liveness,tempo,id
0.643,0.612,0.537,0.112,0.0512,0.722,0.109,79.089,3F4SnqRLateUMs5HpAkhRx
0.487,0.115,0.116,0.909,0.0384,0.893,0.286,92.248,4GHMgAReTLmOS63ev7tTA5
0.583,0.677,0.495,0.47,0.439,0.193,0.43,176.119,0fIFjeeLJjIBliWUCsxyMF
0.71,0.662,0.755,0.42,0.175,0,0.0723,130.037,1OxL1FWSEd7QmJoWLRP2NO
0.41,0.298,0.142,0.721,0.0473,0,0.158,109.651,7Cu2COdH93MnuireuKNiS3
0.779,0.653,0.841,0.144,0.206,0,0.0955,69.056,7ky2X6PAaUZTQjaDniHRot
0.871,0.426,0.296,0.487,0.142,0.0545,0.102,131.081,4R9LaVoXQvVN6pzka1YZF3
0.891,0.489,0.794,0.037,0.135,2.12e-05,0.0899,93.515,22xea6Z2a8BbyVeCksSBX9
0.797,0.697,0.861,0.048,0.0472,0.00535,0.0808,114.65,1wRHNlEjTmpaXv99BFAGnV
0.527,0.689,0.31,0.161,0.741,0,0.498,170.538,0zqy3ss4CwD6u4QPksS0nI
0.478,0.611,0.558,0.0195,0.0299,0.0649,0.164,62.022,7o5Z0bKNd8NrbU9yaxafTc
0.762,0.573,0.513,0.00246,0.0262,3.65e-05,0.269,90.982,1uZfKv0j0bZ1OVt2AQ7rb6
0.558,0.414,0.318,0.405,0.358,0,0.36,127.094,09lmraDvzBT3pUQ2rUtJzK
0.5,0.449,0.104,0.422,0.442,7.96e-06,0.115,144.206,44Du2IM1bGY7dicmLfXbUs
0.442,0.345,0.343,0.866,0.277,0.0366,0.251,82.824,5NbdN6rPwkntsk9rdHO4vl
0.889,0.372,0.123,0.013,0.357,0,0.184,133.997,4n1bdaKwynQndm47x5HqWX
0.73,0.576,0.155,0.354,0.287,3.59e-05,0.15,92.131,4VCbgIdr8ptegWeJpqLVHH
0.584,0.627,0.336,0.454,0.102,0.000124,0.127,121.188,3SVFfZIcUCrp8QgLTLrbuh
0.496,0.541,0.641,0.119,0.0477,0,0.0872,133.005,5aGifhZYLgUSkmcvaJ8MIX
0.295,0.832,0.615,0.00393,0.0631,0.0722,0.102,140.979,4N2d7hsNCkBCo1FLGAO9ll
0.277,0.838,0.227,0.0469,0.168,7.81e-06,0.152,133.863,7wZc7nmPQIoJ4xTW0iJcAd
0.634,0.551,0.453,0.00737,0.0352,1.82e-05,0.07,151.779,6VoIBz0VhCyz7OdEoRYDiA
0.597,0.232,0.242,0.727,0.0443,0.317,0.105,118.651,1qEG5O6bKeSnYcWLnjmQ37
0.42,0.077,0.272,0.861,0.0441,0.38,0.0892,53.534,4bA0Y5vHsRx2RH59lGkryb
0.531,0.0673,0.16,0.926,0.0387,0.642,0.131,117.94,5M3K9hIHwyHYWxR2GTpXEd
0.812,0.661,0.933,0.665,0.0391,0.0365,0.0884,109.995,49IMyWYsotWzxcaTblTmPr
0.735,0.64,0.551,0.052,0.072,0.00102,0.345,104.444,6SaeXxdt0Id6ZzmX0ZGTQK
0.854,0.673,0.955,0.038,0.185,0.000227,0.255,95.0,1Lhwn4PqeGpM4LTVUowW76
0.727,0.611,0.555,0.282,0.113,0,0.264,159.228,6MCFKOiRbDppSzOFKvHlnk
0.794,0.551,0.91,0.206,0.0498,1.01e-05,0.289,105.547,0CeE7kE8zAnfKIVpdmOaJl
0.45,0.358,0.213,0.499,0.0686,0.000269,0.254,85.269,7e8vTtMnxTcE2gvs1junW8
0.467,0.41,0.136,0.328,0.185,4.28e-05,0.113,95.931,6hzbRKhJHo6cfCHSnNaDS8
0.711,0.608,0.791,0.0446,0.0754,7.56e-05,0.123,82.448,6WgxXdBZrtdQFGBcxQxpiv
0.695,0.717,0.61,0.359,0.395,0,0.277,75.888,5XkeTGKcCkGF8l6fA9YpsS
0.784,0.554,0.634,0.00548,0.03,0.254,0.0995,104.01,4riDfclV7kPDT9D58FpmHd
0.843,0.483,0.665,0.0848,0.095,7.63e-06,0.0741,109.588,6XYbMGvtl6tlPoGWaiH7EY
0.814,0.387,0.792,0.0248,0.0946,0,0.131,93.961,4s0o8TJHfX9LLHa0umnOzT
0.649,0.509,0.223,0.181,0.0659,0.000655,0.932,99.813,2Hd7uGbl8PX0IxyX59VFOg
0.601,0.514,0.328,0.496,0.432,0,0.123,87.621,6VwGytUkC11Mj5kcHXggYj
0.601,0.583,0.32,0.144,0.263,9.73e-05,0.183,148.785,0DJBgBiYeSn6n1AXAkFVE8
0.663,0.626,0.494,0.456,0.0567,7.25e-06,0.0984,105.026,0QUbiLQySWPq5Lh3f7A9bN
0.678,0.355,0.438,0.759,0.0627,7.06e-05,0.114,119.772,6qBFSepqLCuh5tehehc1bd
0.538,0.612,0.684,0.308,0.424,0,0.213,168.197,1jzIJcHCXneHw7ojC6LXiF
0.708,0.757,0.552,0.0362,0.0791,0,0.17,80.976,4eamJr2k9YDH8j58RSTmSc
0.527,0.906,0.782,0.000524,0.0307,0.00826,0.624,122.709,46FiM7f4pSkAwVDZ8ikki4
0.637,0.625,0.896,0.734,0.0382,0.514,0.128,160.748,3hxoYmSHzIBwSS2bPTOfbg
0.569,0.733,0.903,0.444,0.0503,0,0.0806,82.076,7kaCWJKoIz2GUB6Rslbl0p
